nct_id,Type,Value,Action
NCT01753713,Tag,Musella Foundation,Remove
NCT01456455,Tag,Musella Foundation,Remove
NCT01602666,Tag,Musella Foundation,Remove
NCT02993146,Tag,Musella Foundation,Remove
NCT00958841,Tag,Musella Foundation,Remove
NCT01498783,Tag,Musella Foundation,Remove
NCT00313729,Tag,Musella Foundation,Remove
NCT01503086,Tag,Musella Foundation,Remove
NCT01891747,Tag,Musella Foundation,Remove
NCT02473380,Tag,Musella Foundation,Remove
NCT01473485,Tag,Musella Foundation,Remove
NCT01480583,Tag,Musella Foundation,Remove
NCT01604512,Tag,Musella Foundation,Remove
NCT01493219,Tag,Musella Foundation,Remove
NCT03020602,Tag,Musella Foundation,Remove
NCT01542736,Tag,Musella Foundation,Remove
NCT03332030,Tag,Musella Foundation,Remove
NCT00669669,Tag,Musella Foundation,Remove
NCT00555399,Tag,Musella Foundation,Remove
NCT01518621,Tag,Musella Foundation,Remove
NCT01926171,Tag,Musella Foundation,Remove
NCT02792608,Tag,Musella Foundation,Remove
NCT00418899,Tag,Musella Foundation,Remove
NCT01508104,Tag,Musella Foundation,Remove
NCT01062425,Tag,Musella Foundation,Remove
NCT01902771,Tag,Musella Foundation,Remove
NCT03028246,Tag,Musella Foundation,Remove
NCT03028337,Tag,Musella Foundation,Remove
NCT01528046,Tag,Musella Foundation,Remove
NCT00301418,Tag,Musella Foundation,Remove
NCT01508117,Tag,Musella Foundation,Remove
NCT00626483,Tag,Musella Foundation,Remove
NCT01189266,Tag,Musella Foundation,Remove
NCT00769093,Tag,Musella Foundation,Remove
NCT03048084,Tag,Musella Foundation,Remove
NCT01514201,Tag,Musella Foundation,Remove
NCT01310868,Tag,Musella Foundation,Remove
NCT01723020,Tag,Musella Foundation,Remove
NCT01706432,Tag,Musella Foundation,Remove
NCT01478321,Tag,Musella Foundation,Remove
NCT01721603,Tag,Musella Foundation,Remove
NCT03068520,Tag,Musella Foundation,Remove
NCT01756989,Tag,Musella Foundation,Remove
NCT00179907,Tag,Musella Foundation,Remove
NCT01748149,Tag,Musella Foundation,Remove
NCT00811148,Tag,Musella Foundation,Remove
NCT01812616,Tag,Musella Foundation,Remove
NCT00837928,Tag,Musella Foundation,Remove
NCT01465347,Tag,Musella Foundation,Remove
NCT03090386,Tag,Musella Foundation,Remove
NCT03091803,Tag,Musella Foundation,Remove
NCT02800486,Tag,Musella Foundation,Remove
NCT01534104,Tag,Musella Foundation,Remove
NCT01800695,Tag,Musella Foundation,Remove
NCT02331693,Tag,Musella Foundation,Remove
NCT03107780,Tag,Musella Foundation,Remove
NCT00998010,Tag,Musella Foundation,Remove
NCT01556230,Tag,Musella Foundation,Remove
NCT03128047,Tag,Musella Foundation,Remove
NCT01165632,Tag,Musella Foundation,Remove
NCT01887795,Tag,Musella Foundation,Remove
NCT03137888,Tag,Musella Foundation,Remove
NCT02047214,Tag,Musella Foundation,Remove
NCT01934894,Tag,Musella Foundation,Remove
NCT02575261,Tag,Musella Foundation,Remove
NCT02365662,Tag,Musella Foundation,Remove
NCT01183663,Tag,Musella Foundation,Remove
NCT01891838,Tag,Musella Foundation,Remove
NCT01672463,Tag,Musella Foundation,Remove
NCT01538264,Tag,Musella Foundation,Remove
NCT03152318,Tag,Musella Foundation,Remove
NCT01290263,Tag,Musella Foundation,Remove
NCT01915303,Tag,Musella Foundation,Remove
NCT01512147,Tag,Musella Foundation,Remove
NCT03033992,Tag,Musella Foundation,Remove
NCT03102203,Tag,Musella Foundation,Remove
NCT01942980,Tag,Musella Foundation,Remove
NCT02014545,Tag,Musella Foundation,Remove
NCT01305122,Tag,Musella Foundation,Remove
NCT01951482,Tag,Musella Foundation,Remove
NCT01568359,Tag,Musella Foundation,Remove
NCT02805179,Tag,Musella Foundation,Remove
NCT02155452,Tag,Musella Foundation,Remove
NCT01502605,Tag,Musella Foundation,Remove
NCT00950001,Tag,Musella Foundation,Remove
NCT01353625,Tag,Musella Foundation,Remove
NCT02005614,Tag,Musella Foundation,Remove
NCT01951469,Tag,Musella Foundation,Remove
NCT01347307,Tag,Musella Foundation,Remove
NCT01996527,Tag,Musella Foundation,Remove
NCT02041611,Tag,Musella Foundation,Remove
NCT02047747,Tag,Musella Foundation,Remove
NCT02013297,Tag,Musella Foundation,Remove
NCT01631552,Tag,Musella Foundation,Remove
NCT02031237,Tag,Musella Foundation,Remove
NCT01640509,Tag,Musella Foundation,Remove
NCT02034799,Tag,Musella Foundation,Remove
NCT02015117,Tag,Musella Foundation,Remove
NCT02039947,Tag,Musella Foundation,Remove
NCT03267836,Tag,Musella Foundation,Remove
NCT02040376,Tag,Musella Foundation,Remove
NCT02323880,Tag,Musella Foundation,Remove
NCT01145170,Tag,Musella Foundation,Remove
NCT01543542,Tag,Musella Foundation,Remove
NCT03176160,Tag,Musella Foundation,Remove
NCT02054819,Tag,Musella Foundation,Remove
NCT02154529,Tag,Musella Foundation,Remove
NCT01639612,Tag,Musella Foundation,Remove
NCT01724606,Tag,Musella Foundation,Remove
NCT01703507,Tag,Musella Foundation,Remove
