nct_id,Type,Value,Action
NCT03002064,WF_StoCAN1,Needs Review,Add
NCT03005314,WF_StoCAN1,Needs Review,Add
NCT03006432,WF_StoCAN1,Needs Review,Add
NCT03006705,WF_StoCAN1,Needs Review,Add
NCT03007446,WF_StoCAN1,Needs Review,Add
NCT03008278,WF_StoCAN1,Needs Review,Add
NCT03011255,WF_StoCAN1,Needs Review,Add
NCT03013010,WF_StoCAN1,Needs Review,Add
NCT03013712,WF_StoCAN1,Needs Review,Add
NCT03015675,WF_StoCAN1,Needs Review,Add
NCT03023436,WF_StoCAN1,Needs Review,Add
NCT03025152,WF_StoCAN1,Needs Review,Add
NCT03037385,WF_StoCAN1,Needs Review,Add
NCT03043664,WF_StoCAN1,Needs Review,Add
NCT03044613,WF_StoCAN1,Needs Review,Add
NCT03044743,WF_StoCAN1,Needs Review,Add
NCT03049345,WF_StoCAN1,Needs Review,Add
NCT03057288,WF_StoCAN1,Needs Review,Add
NCT03061058,WF_StoCAN1,Needs Review,Add
NCT03061162,WF_StoCAN1,Needs Review,Add
NCT03076372,WF_StoCAN1,Needs Review,Add
NCT03086291,WF_StoCAN1,Needs Review,Add
NCT03087864,WF_StoCAN1,Needs Review,Add
NCT03092518,WF_StoCAN1,Needs Review,Add
NCT03094351,WF_StoCAN1,Needs Review,Add
NCT03096054,WF_StoCAN1,Needs Review,Add
NCT03104283,WF_StoCAN1,Needs Review,Add
NCT03110926,WF_StoCAN1,Needs Review,Add
